created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Oct 23 05:00:00 +0000 2023;1,72E+18;Capres Anies Baswedan berjanji akan memberantas judi online jika terpilih jadi Presiden RI. Ia pun bercerita pernah membubarkan judi yang difasilitasi negara saat era orde baru. https://t.co/wnIrlxv3Wu;3;10;5;28;in;69183155;1,72E+18;detikcom;https://twitter.com/detikcom/status/1716318533632884796
Mon Oct 23 04:46:49 +0000 2023;1,72E+18;@cnbcindonesia Bagaimana pun hanya bpk Anies Baswedan figur capres yg lepas dari ketergantungan pada pengaruh penguasa dan keluarga penguasa . Capres yg lepas dari rasa cemas dan khawatir atas sesuatu yg berasa membebani langkahnya .;0;0;0;0;in;2368881722;1,65E+18;68Supriyono;https://twitter.com/68Supriyono/status/1716315215292497967
Mon Oct 23 04:15:02 +0000 2023;1,72E+18;@AgusYudhoyono @Bh4rata_ja @prabowo @gibran_tweet Saya menyerukan kepada seluruh simpatisan dan pendukung agar tetap solid mendukung capres Anies Baswedan dan Muhaimin Iskandar di pilpres 2024. Salurkan suara anda demi kemajuan dan kemakmuran rakyat Indonesia. Biarkan pimpinan atas ikut Prabowo di bawah solid ke Anies Baswedan https://t.co/vfLQ7C7bPl;4;22;110;602;in;1,61E+18;1,72E+18;Avocado2Juice;https://twitter.com/Avocado2Juice/status/1716307217488785594
Mon Oct 23 04:12:39 +0000 2023;1,72E+18;Tentang masalah ekonomi dan pengangguran.. Anies Baswedan membicarakan solusi yg terdengar lebih masuk akal dan detail.. dibanding dua capres yg lain.;0;0;0;0;in;2825429863;1,72E+18;prettyika0505;https://twitter.com/prettyika0505/status/1716306618726613255
Mon Oct 23 03:50:00 +0000 2023;1,72E+18;Meski sudah mendaftar ke KPU, pasangan Capres-Cawapres, Anies Baswedan dan Muhaimin Iskandar (AMIN) belum memiliki kapten pemenangan.  Baca berita lengkapnya https://t.co/X9pHW6gUvh  #AniesMuhaimin2024 #AniesMuhaimin #AniesMuaimin2024 https://t.co/5tmwjllJNM;0;0;0;1;in;1,47E+18;1,72E+18;_rakyatmerdeka;https://twitter.com/_rakyatmerdeka/status/1716300915542798618
Mon Oct 23 03:24:16 +0000 2023;1,72E+18;Udah yaa..selamat bertarung para capres dan cawapres 2024  Anies Baswedan / Cak Imin                   Versus Prabowo Subianto / Gibran  #AMINAjaDulu https://t.co/lc4DgTahGE;0;1;0;0;in;1,15E+18;1,72E+18;koen_syam;https://twitter.com/koen_syam/status/1716294442590830977
Mon Oct 23 02:56:41 +0000 2023;1,72E+18;CAPRES WAKIL DARI JAWA BARAT  Anies Baswedan lahir di Kuningan, Jawa Barat, 7 Mei 1969 dari pasangan Rasyid Baswedan dan Aliyah. Bapaknya Rasyid Baswedan pernah menjadi Wakil Rektor Universitas Islam Indonesia dan ibunya Aliyah adalah guru Besar Universitas Negeri Yogyakarta. https://t.co/CwUms5i1hk;17;34;372;1129;in;1,04E+18;1,72E+18;NenkMonica;https://twitter.com/NenkMonica/status/1716287499063185850
Mon Oct 23 02:43:30 +0000 2023;1,72E+18;Anies Baswedan Tegaskan Koalisi Perubahan Fokus Upaya Pemenangan AMIN  Bacapres Koalisi Perubahan Anies Baswedan menegaskan fokus pada internal koalisi untuk pemenangan daripada mengomentari pasangan capres-cawapres yang akan berkontestasi pada Pilpres 2024. https://t.co/RyRK8GTdA7;0;1;0;0;in;1,66E+18;1,72E+18;ilhamyoid;https://twitter.com/ilhamyoid/status/1716284179271635317
Mon Oct 23 02:19:00 +0000 2023;1,72E+18;@VIVAcoid Klo saya pilih capres-cawapres yang ada pak anies baswedan nya;0;0;0;3;in;738938701;1,72E+18;5454_JI;https://twitter.com/5454_JI/status/1716278014236078166
Mon Oct 23 01:31:09 +0000 2023;1,72E+18;Negeri Autopilot  Bakal calon presiden (capres) dari Koalisi Perubahan Anies Baswedan menyebut selama ini Pemerintah Pusat RI tak pernah memberikan pedoman maupun indikator kinerja (key performance indicator/KPI) untuk setiap permasalahan yang dihadapi pemerintah daerah.  Anies… https://t.co/tKLHkfMzvc;1;3;21;66;in;35680707;1,72E+18;m_nurfatoni;https://twitter.com/m_nurfatoni/status/1716265974327099500
Mon Oct 23 01:15:33 +0000 2023;1,72E+18;Anies Baswedan: Selamat KIM Sudah Memiliki Capres dan Cawapres https://t.co/3T9OUDmvHw;0;0;1;4;in;58880688;1,72E+18;pikiran_rakyat;https://twitter.com/pikiran_rakyat/status/1716262049532268613
Mon Oct 23 00:31:20 +0000 2023;1,72E+18;RESMI! Inilah 3 pasang Capres-cawapres yang akan bertarung di Pemilihan Presiden 2024.   - Anies Baswedan &amp  Muhaimin - Ganjar Pranowo &amp  Mahfud MD - Prabowo Subianto &amp  Gibran;0;0;1;1;in;1,23E+18;1,72E+18;Jepara_Post;https://twitter.com/Jepara_Post/status/1716250920072479001
Sun Oct 22 23:12:16 +0000 2023;1,72E+18;@DokterTifa Setelah gagal menjegal pak Anies Baswedan jadi capres dan jalan terakhir dengan memasukkan anaknya ke cawapres membuka peluang akan melakukan sulap saat perhitungan suara setelah pencoblosan nanti, skenario cari aman akan dilakukan apa saja masa bodoh dengan bangsa Indonesia;0;1;0;2;in;1,59E+18;1,72E+18;johanwa60616572;https://twitter.com/johanwa60616572/status/1716231022252360001
Sun Oct 22 21:51:03 +0000 2023;1,72E+18;Kali ini kita akan melihat konteks relasi dan koneksi konglomerat itu pada capres Anies Baswedan.;0;0;0;1;in;7,99E+17;1,72E+18;pinterpolitik;https://twitter.com/pinterpolitik/status/1716210582293299568
Sun Oct 22 20:45:37 +0000 2023;1,72E+18;@idextratime Pilihanku Pemimpin Non-Petugas Partai, Anies Baswedan.  Pemilu 2024 ini sangat langka karena merupakan pemilu pertama dalam sejarah Indonesia yg menghadirkan Capres Non-Kader Partai.  Tambahan berita lama yg masih relevan: 1. https://t.co/UHEDXuVSSI 2. https://t.co/scyJLwJWAZ;0;0;0;0;in;1,10E+18;1,72E+18;Frownman96;https://twitter.com/Frownman96/status/1716194115321577859
