created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 22 13:36:31 +0000 2023;1,72E+18;https://t.co/cC2QzA5WXI  From now on gagal Golput.  Dukung @prabowo &amp  @gibran_tweet Capres-Cawapres 2024. Bismillah;0;0;0;0;in;630259671;1,72E+18;Mas_Bhagus;https://twitter.com/Mas_Bhagus/status/1716086129802477573
Sun Oct 22 13:35:08 +0000 2023;1,72E+18;Kemarin bilang tidak ada urusan soal keputusan MK, tidak ada urusan sama dukung-mendukung pasangan capres-cawapres. Hari ini Gibran jd cawapres Prabowo. Yakin tidak ada skenario? Masih percaya Jokowi? Saya sih masih percaya Pak Jokowi sekarang masih presiden kita.;0;0;0;0;in;1,56E+18;1,72E+18;ayobukasaja;https://twitter.com/ayobukasaja/status/1716085782002495695
Sun Oct 22 13:34:58 +0000 2023;1,72E+18;Menguji Konsistensi MK Soal Gugatan Batas Usia Capres, Akankah Prabowo Bisa Maju di Pilpres 2024? https://t.co/L6bluDyYwt;0;0;0;0;in;1,23E+18;1,72E+18;RepelitaO;https://twitter.com/RepelitaO/status/1716085742181708266
Sun Oct 22 13:33:39 +0000 2023;1,72E+18;Cuma penasaran pas pengumuman capres cawapres muka pak prabowo kenapa gak se happy waktu pagi sama erick pak?   Ada apa pak? https://t.co/2uf6ToUAUy;0;0;0;0;in;1,60E+18;1,72E+18;Sembroenoo;https://twitter.com/Sembroenoo/status/1716085407321075961
Sun Oct 22 13:33:37 +0000 2023;1,72E+18;Kalian semua yg masih bingung milih siapa tolong jgn terlalu liat cawapres nya dan jgn judge dulu tapi liat capres ny dan dari ketiga itu udah jelas jgn pilih GAGALIN PILDUN u-20 ,tapi sedikit rekomendasi dri ku yg selalu milih dia dari tahun 2014 coba sesekali liat pak Prabowo👍🏻;0;1;0;2;in;9,21E+17;1,72E+18;artchiww;https://twitter.com/artchiww/status/1716085401327407331
Sun Oct 22 13:32:19 +0000 2023;1,72E+18;@Fahrihamzah @prabowo @gibran_tweet Besok ketok palu MK gugatan maksimal capres 70th DITOLAK.....lancar jaya;0;0;0;0;in;1,03E+18;1,72E+18;GYatmoko;https://twitter.com/GYatmoko/status/1716085072783450587
Sun Oct 22 13:31:59 +0000 2023;1,72E+18;@Fahrihamzah @prabowo @gibran_tweet Selamat jd Capres terus... Pak Wo mmg paling ikhlas soal ini.. Bocil awokwokwok;0;0;0;0;in;1659944138;1,72E+18;andrifanky;https://twitter.com/andrifanky/status/1716084991128633466
Sun Oct 22 13:31:48 +0000 2023;1,72E+18;Pas mau daftar bsk tgl 23 turun keputusan MK bahwa capres cawapres maksimal umur 70th😂😂😂, ambyaaar kawan.  Prabowo Subianto resmi mengumumkan Gibran Rakabuming sebagai cawapresnya di Pilpres 2024. Prabowo dan Gibran akan daftar ke KPU hari Rabu.   https://t.co/UCuFzK0KJR;0;1;2;10;in;1,36E+18;1,72E+18;BlackcoTanya;https://twitter.com/BlackcoTanya/status/1716084941757551087
Sun Oct 22 13:31:42 +0000 2023;1,72E+18;Akhirnya pak @prabowo (capres) berdampingan @gibran_tweet  (cawapres). Warnai pilpres ini dengan santun dan gembira.;0;0;0;0;in;1,60E+18;1,72E+18;syahfrud;https://twitter.com/syahfrud/status/1716084916604358844
Sun Oct 22 13:31:31 +0000 2023;1,72E+18;tanggal 25 pendaftaran ke kpu pa prabowo dan gibran sbg capres dan cawapres..;0;0;0;0;in;1,60E+18;1,72E+18;jcciiee;https://twitter.com/jcciiee/status/1716084871964279241
Sun Oct 22 13:30:15 +0000 2023;1,72E+18;@KompasTV 😂 aduh ada ada aje...setelah 2024  prabowo pensiun ...tidak boleh jadi mentri lagi.. Biar di 2029 tidak nyalonin lagi capres di 2029.   Masih bagusan Achmad Efendi ...😗cawapresnya ...;0;1;0;1;in;1,34E+18;1,72E+18;GNET888;https://twitter.com/GNET888/status/1716084554044481854
Sun Oct 22 13:29:49 +0000 2023;1,72E+18;"Kita telah berembuk secara final secara konsensus seluruhnya sepakat mengusung Prabowo Subianto sebagai capres KIM dan saudara Gibran Rakabuming Raka sebagai calon wakil presiden dari Koalisi Indonesia Maju“.  #IDNTimesNews #GenZMemilih  https://t.co/IdX8EzGYAF""";0;1;0;0;in;388190238;1,72E+18;IDNTimes;https://twitter.com/IDNTimes/status/1716084443382001852
Sun Oct 22 13:29:45 +0000 2023;1,72E+18;@timothyronald22 Yg penting prabowo Capres nya tim 😂;0;0;0;0;in;1,48E+18;1,72E+18;khatamihans;https://twitter.com/khatamihans/status/1716084425757520173
Sun Oct 22 13:29:06 +0000 2023;1,72E+18;Sah Koalisi Indonesia Maju Usung Capres &amp  Cawapres PRABOWO - GIBRAN. (PRGI) https://t.co/Do2QsxpwCu;6;58;27;130;in;2385926900;1,72E+18;MARQUEZ__93;https://twitter.com/MARQUEZ__93/status/1716084262481616898
Sun Oct 22 13:28:00 +0000 2023;1,72E+18;"Koalisi Indonesia Maju resmi mengusung Capres @prabowo dan Cawapres @gibran_tweet sebagai pasangan di Pilpres 2024. Hal ini disampaikan Prabowo saat konferensi pers di Kertanegara pada Minggu (22/10/2023).  Seluruhnya sepakat mengusung Prabowo Subianto sebagai calon presiden… https://t.co/zTmwAGSyWt""";35;133;38;165;in;71436318;1,72E+18;KompasTV;https://twitter.com/KompasTV/status/1716083985976312264
Sun Oct 22 13:27:30 +0000 2023;1,72E+18;Prabowo otw capres abadi;0;0;0;0;in;9,33E+17;1,72E+18;miekaritelor;https://twitter.com/miekaritelor/status/1716083862093320386
Sun Oct 22 13:27:19 +0000 2023;1,72E+18;Kasihan Prabowo cuma bisa Jadi Capres seumur umur....;0;0;0;0;in;1,64E+18;1,72E+18;TechFirman;https://twitter.com/TechFirman/status/1716083815914066342
Sun Oct 22 13:27:05 +0000 2023;1,72E+18;@Dennysiregar7 Brsyukurlah bagi pasangan @ganjarpranowo  @mohmahfudmd bila  @prabowo @gibran_tweet lawan klian, krn kemenangan bisa dimungkinkan brpihak pd Ganjar-Mahfud. Mana mau Rakyat pilih Capres-Cawapres yg sdh obok2 @officialMKRI  Kepercayaan Rakyat jg sdh luntur dg Kepemimpinan @jokowi;0;1;0;2;in;1,69E+18;1,72E+18;RatnaPuspi16942;https://twitter.com/RatnaPuspi16942/status/1716083757239976301
Sun Oct 22 13:26:55 +0000 2023;1,72E+18;Apel hari Santri di Surabaya meriah, dihadiri Presiden Jokowi dan para menteri kabinet, eh ada ayah #Prabowo 😊  Dan sarung yg dikenakan Presiden dan Capres @prabowo ternyata motif dan warnanya sama, hijau😍  Hayo hijau perlambang apa? 😊  Yuk pilih #Prabowo aja 😁👍🇮🇩❤ https://t.co/uKo82UwROJ;5;31;24;83;in;1,19E+18;1,72E+18;BANGSAygSUJUD;https://twitter.com/BANGSAygSUJUD/status/1716083715661758489
Sun Oct 22 13:26:19 +0000 2023;1,72E+18;@Fahrihamzah @prabowo @gibran_tweet Suprise? Kagaklah... Deg deg-an? Biasa aja...  Lah copras capres...  Emang yakin bakal membuat sejahtera rakyat Indonesia? Gua mah kagak!;0;0;1;1;in;2341072183;1,72E+18;belaIndonesiaID;https://twitter.com/belaIndonesiaID/status/1716083565635801425
