created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 22 03:42:46 +0000 2023;1,72E+18;Pak Ganjar Dan Pak Mahfud MD Datang Ke RSPAD Untuk Lakukan Test Kesehatan,  Sebagai Salah Satu Persyaratan Capres dan Cawapres Dalam Pemilu 2024 https://t.co/FqT8f6otPJ;0;0;15;28;in;87632140;1,72E+18;wil_ws_;https://twitter.com/wil_ws_/status/1715936708347519068
Sun Oct 22 03:42:14 +0000 2023;1,72E+18;Pasangan capres dan cawapres Ganjar-Mahfud melakukan tes kesehatan di RSPAD Gatot Subroto.   InsyaAllah sehat waras untuk memimpin Indonesia. ❤️❤️  Aamiin 🤲 https://t.co/b1zRZTEIF5;2;30;89;537;in;84221579;1,72E+18;narkosun;https://twitter.com/narkosun/status/1715936573936861567
Tue Oct 24 23:59:47 +0000 2023;1,72E+18;Ganjar Mahfud adalah contoh utama tentang bagaimana pemimpin harus tegak lurus mengikuti konstitusi yg ada, tanpa drama atau pelanggaran terhadap konstitusi. #TegakLurusKonstitusi https://t.co/rkbxSYgmgX;0;0;0;0;in;1,57E+18;1,72E+18;irvajasii;https://twitter.com/irvajasii/status/1716967754660770298
Tue Oct 24 23:59:38 +0000 2023;1,72E+18;@tvOneNews Ganjar - Mahfud menang 1 putaran .... kita amin kan sodara2 ...... https://t.co/RCs2L2iB9v;0;0;0;0;in;2765720910;1,72E+18;Paint_InRed;https://twitter.com/Paint_InRed/status/1716967720426815687
Tue Oct 24 23:59:38 +0000 2023;1,72E+18;Ganjar-Mahfud gaungkan semangat anti-KKN https://t.co/GQHcmC2R6Z;0;0;0;1;in;1,41E+18;1,72E+18;bersamaGanjarr;https://twitter.com/bersamaGanjarr/status/1716967719780905342
Tue Oct 24 23:59:34 +0000 2023;1,72E+18;@Gus_Raharjo Rakyat udah terbuka matanya, kita dukung terus Pak Ganjar Mahfud ❤;0;0;0;0;in;1,70E+18;1,72E+18;Juli_yunani;https://twitter.com/Juli_yunani/status/1716967702328422796
Tue Oct 24 23:59:19 +0000 2023;1,72E+18;@ganjarpranowo @saya_caklontong @masbutet @akbar___ @CingAbdel @adjisdoaibu Kumpul kumpul yang bermanfaat ya ini, cuma ada di tongkrongan pak Ganjar Mahfud;0;0;0;0;in;1,70E+18;1,72E+18;Pikay823;https://twitter.com/Pikay823/status/1716967640672215189
Tue Oct 24 23:59:14 +0000 2023;1,72E+18;@kiki_daliyo Pilih pemimpin yang #TegakLurusKonstitusi seperti paslon  Ganjar Mahfud;0;0;0;0;in;1,42E+18;1,72E+18;akupastibisa09;https://twitter.com/akupastibisa09/status/1716967616936644831
Tue Oct 24 23:59:03 +0000 2023;1,72E+18;@lhayesno Selihai apapun strategunya, sebesar apapun pengaruhnya, doa yg tulus dari rakyat utk mencari pemimpin yg baik pasti memilih Ganjar Mahfud;0;3;2;33;in;1,45E+18;1,72E+18;pangasean01;https://twitter.com/pangasean01/status/1716967571034091531
Tue Oct 24 23:58:59 +0000 2023;1,72E+18;@kompascom Yang penting dukung Ganjar Mahfud MD;0;0;0;0;in;1705249477;1,72E+18;adepertamaputr2;https://twitter.com/adepertamaputr2/status/1716967554311463389
